,image_path,label,valence,arousal,dominance,bbox_x1,bbox_y1,bbox_x2,bbox_y2,fullpath,img_label,crop_label
0,mscoco/images/COCO_train2014_000000462955.jpg,Peace,0.3,0.6,0.8,42,32,413,472,emotic/emotic/images/mscoco/images/COCO_train2014_000000462955.jpg,Confidence,Confidence
1,mscoco/images/COCO_train2014_000000186198.jpg,Peace,0.7,0.7,0.8,336,80,494,327,emotic/emotic/images/mscoco/images/COCO_train2014_000000186198.jpg,Excitement,Excitement
2,mscoco/images/COCO_val2014_000000122997.jpg,Peace,0.6,0.4,0.7,141,47,348,343,emotic/emotic/images/mscoco/images/COCO_val2014_000000122997.jpg,Engagement,Engagement
3,mscoco/images/COCO_train2014_000000253959.jpg,Peace,0.7,0.8,0.2,73,276,276,493,emotic/emotic/images/mscoco/images/COCO_train2014_000000253959.jpg,Happiness,Surprise
4,mscoco/images/COCO_val2014_000000461715.jpg,Peace,0.7,0.4,0.7,90,27,300,355,emotic/emotic/images/mscoco/images/COCO_val2014_000000461715.jpg,Happiness,Pleasure
5,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Peace,0.6,0.4,0.3,554,192,604,338,emotic/emotic/images/framesdb/images/frame_7nseu023ccmqaj3p.jpg,Happiness,Disconnection
6,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Peace,0.7,0.4,0.7,394,242,450,355,emotic/emotic/images/framesdb/images/frame_7nseu023ccmqaj3p.jpg,Happiness,Pleasure
7,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Peace,0.6,0.6,0.6,607,185,649,348,emotic/emotic/images/framesdb/images/frame_7nseu023ccmqaj3p.jpg,Happiness,Pleasure
8,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Peace,0.5,0.3,0.8,646,221,688,317,emotic/emotic/images/framesdb/images/frame_7nseu023ccmqaj3p.jpg,Happiness,Disquietment
9,mscoco/images/COCO_train2014_000000149755.jpg,Peace,0.4,0.6,0.4,105,7,611,422,emotic/emotic/images/mscoco/images/COCO_train2014_000000149755.jpg,Happiness,Happiness
10,framesdb/images/frame_j44zhny87dief9zp.jpg,Peace,0.5,0.4,0.5,278,119,482,491,emotic/emotic/images/framesdb/images/frame_j44zhny87dief9zp.jpg,Pleasure,Sensitivity
11,framesdb/images/frame_j44zhny87dief9zp.jpg,Peace,0.6,0.3,0.4,57,91,354,490,emotic/emotic/images/framesdb/images/frame_j44zhny87dief9zp.jpg,Engagement,Engagement
12,framesdb/images/frame_hzo04gqf487tm689.jpg,Peace,0.5,0.4,0.9,64,17,338,262,emotic/emotic/images/framesdb/images/frame_hzo04gqf487tm689.jpg,Happiness,Happiness
13,emodb_small/images/ab3l4riuiqrc4ivkqk.jpg,Peace,0.3,0.5,0.6,53,54,233,356,emotic/emotic/images/emodb_small/images/ab3l4riuiqrc4ivkqk.jpg,Confidence,Sensitivity
14,mscoco/images/COCO_val2014_000000571264.jpg,Peace,0.6,0.4,0.7,265,29,415,387,emotic/emotic/images/mscoco/images/COCO_val2014_000000571264.jpg,Confidence,Confidence
15,mscoco/images/COCO_train2014_000000331832.jpg,Peace,0.6,0.8,0.9,47,49,245,282,emotic/emotic/images/mscoco/images/COCO_train2014_000000331832.jpg,Anticipation,Disquietment
16,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Peace,0.5,0.7,0.5,1555,301,2187,2093,emotic/emotic/images/framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Happiness,Affection
17,mscoco/images/COCO_train2014_000000389772.jpg,Peace,0.7,0.6,0.8,198,53,347,466,emotic/emotic/images/mscoco/images/COCO_train2014_000000389772.jpg,Happiness,Happiness
18,framesdb/images/frame_6npxf90s9ozbfo99.jpg,Peace,0.7,0.3,0.8,94,584,187,730,emotic/emotic/images/framesdb/images/frame_6npxf90s9ozbfo99.jpg,Happiness,Happiness
19,mscoco/images/COCO_val2014_000000047801.jpg,Peace,0.8,0.5,0.9,58,80,559,529,emotic/emotic/images/mscoco/images/COCO_val2014_000000047801.jpg,Pleasure,Happiness
20,framesdb/images/frame_k43u0wqy98p0ihaw.jpg,Peace,0.7,0.3,0.4,1000,770,3407,2576,emotic/emotic/images/framesdb/images/frame_k43u0wqy98p0ihaw.jpg,Pleasure,Happiness
21,mscoco/images/COCO_train2014_000000458057.jpg,Peace,0.6,0.6,0.7,457,69,627,365,emotic/emotic/images/mscoco/images/COCO_train2014_000000458057.jpg,Pleasure,Fatigue
22,mscoco/images/COCO_train2014_000000458057.jpg,Peace,0.6,0.6,0.7,221,83,365,274,emotic/emotic/images/mscoco/images/COCO_train2014_000000458057.jpg,Pleasure,Fear
23,mscoco/images/COCO_train2014_000000457168.jpg,Peace,0.5,0.4,0.7,310,122,424,329,emotic/emotic/images/mscoco/images/COCO_train2014_000000457168.jpg,Happiness,Excitement
24,mscoco/images/COCO_val2014_000000553443.jpg,Peace,0.5,0.6,0.9,182,112,488,355,emotic/emotic/images/mscoco/images/COCO_val2014_000000553443.jpg,Surprise,Pleasure
25,mscoco/images/COCO_train2014_000000377110.jpg,Peace,0.8,0.8,0.9,175,35,620,422,emotic/emotic/images/mscoco/images/COCO_train2014_000000377110.jpg,Confidence,Happiness
26,emodb_small/images/2dx6iyafrj0xqsbyxz.jpg,Peace,0.7,0.5,0.5,2,44,131,182,emotic/emotic/images/emodb_small/images/2dx6iyafrj0xqsbyxz.jpg,Affection,Yearning
27,framesdb/images/frame_j9vbydagsea8s830.jpg,Peace,0.7,0.6,0.6,76,75,288,391,emotic/emotic/images/framesdb/images/frame_j9vbydagsea8s830.jpg,Fatigue,Sadness
28,framesdb/images/frame_hxrt3v35rhil6sx5.jpg,Peace,,,,57,48,617,281,emotic/emotic/images/framesdb/images/frame_hxrt3v35rhil6sx5.jpg,Fatigue,Fatigue
29,mscoco/images/COCO_val2014_000000568765.jpg,Peace,0.5,0.5,0.9,38,31,202,418,emotic/emotic/images/mscoco/images/COCO_val2014_000000568765.jpg,Confidence,Confidence
30,mscoco/images/COCO_train2014_000000466491.jpg,Peace,0.5,0.2,0.7,42,178,340,476,emotic/emotic/images/mscoco/images/COCO_train2014_000000466491.jpg,Fatigue,Fatigue
31,mscoco/images/COCO_train2014_000000139429.jpg,Peace,0.7,0.4,0.6,339,73,480,436,emotic/emotic/images/mscoco/images/COCO_train2014_000000139429.jpg,Happiness,Happiness
32,mscoco/images/COCO_train2014_000000139429.jpg,Peace,0.7,0.7,1.0,155,86,289,438,emotic/emotic/images/mscoco/images/COCO_train2014_000000139429.jpg,Happiness,Happiness
33,mscoco/images/COCO_train2014_000000050597.jpg,Peace,0.5,0.3,0.2,167,79,431,472,emotic/emotic/images/mscoco/images/COCO_train2014_000000050597.jpg,Happiness,Happiness
34,mscoco/images/COCO_train2014_000000189810.jpg,Peace,0.6,0.4,0.6,311,56,400,288,emotic/emotic/images/mscoco/images/COCO_train2014_000000189810.jpg,Confidence,Disconnection
35,mscoco/images/COCO_val2014_000000078060.jpg,Peace,0.8,0.2,0.6,248,175,400,472,emotic/emotic/images/mscoco/images/COCO_val2014_000000078060.jpg,Happiness,Happiness
36,mscoco/images/COCO_train2014_000000134496.jpg,Peace,0.7,0.9,1.0,137,31,253,407,emotic/emotic/images/mscoco/images/COCO_train2014_000000134496.jpg,Happiness,Pleasure
